"","paper","paper_id","coder","coder_id","paper_coder","supervisor","supervisor_id"
"1","Wolf et al, 2018: Experimental Impacts of the Quality Preschool for Ghana Interventions on Teacher Professional Well-being, Classroom Quality, and Children's School Readiness","TR_01","Mike Gibson",9999,"TR_01-9999","Fei Yuan","PI2598"
"2","Basinga et al, 2011: Effect on maternal and child health services in Rwanda of payment to primary health-care providers for performance: an impact evaluation","TR_02","Mike Gibson",9999,"TR_02-9999","Anja Sautmann","PI9813"
"3","Yoshikawa et al, 2015: Experimental impacts of a teacher professional development program in Chile on preschool classroom quality and child outcomes","TR_03","Mike Gibson",9999,"TR_03-9999","Sergio Puerto","PI2423"
"4","Ozler et al, 2018: Combining pre-school teacher training with parenting education: A cluster-randomized controlled trial","TR_04","Mike Gibson",9999,"TR_04-9999","Edward Miguel","PI7697"
"5","Pickering et al, 2019: Effect of in-line drinking water chlorination at the point of collection on child diarrhoea in urban Bangladesh: a double-blind, cluster-randomised controlled trial","TR_05","Mike Gibson",9999,"TR_05-9999","Fei Yuan","PI2598"
"6","Muralidharan et al, 2021: Improving Last-Mile Service Delivery Using Phone-Based Monitoring","TR_06","Mike Gibson",9999,"TR_06-9999","Anja Sautmann","PI9813"
"7","Ashraf et al, 2010: Can Higher Prices Stimulate Product Use? Evidence from a Field Experiment in Zambia","TR_07","Mike Gibson",9999,"TR_07-9999","Alaka Holla","PI7251"
"8","Leaver et al, 2021: Recruitment, Effort, and Retention Effects of Performance Contracts for Civil Servants: Experimental Evidence from Rwandan Primary Schools","TR_08","Mike Gibson",9999,"TR_08-9999","Edward Miguel","PI7697"
"9","Chong et al, 2015: Does Corruption Information Inspire the Fight or Quash the Hope? A Field Experiment in Mexico on Voter Turnout, Choice, and Party Identification","TR_09","Mike Gibson",9999,"TR_09-9999","Fei Yuan","PI2598"
"10","Freeman et al, 2021: The impact of a demand-side sanitation and hygiene promotion intervention on sustained behavior change and health in Amhara, Ethiopia: a cluster-randomized trial","TR_10","Mike Gibson",9999,"TR_10-9999","Axel Schneider","PI8697"
"11","Blair et al, 2019: Establishing the Rule of Law in Weak and War-torn States: Evidence from a Field Experiment with the Liberian National Police","TR_11","Eric Dee",1008,"TR_11-1008","Axel Schneider","PI8697"
"12","Paper","TEST","Mike Gibson",9999,"TEST-9999","Alaka Holla","PI7251"
"13","Effects of nutritional supplementation and home visiting on growth and development in young children in Madagascar: a cluster-randomised controlled trial","SE1","Winnie Mughogho",1002,"SE1-1002","Fei Yuan","PI2598"
"14","Lipid-Based Nutrient Supplementation Reduces Child Anemia and Increases Micronutrient Status in Madagascar: A Multiarm Cluster-Randomized Controlled Trial","SE2","Susan Awor",1003,"SE2-1003","Sergio Puerto","PI2423"
"15","The Role of Information and Cash Transfers in Early Childhood Development: Short and Long Run Evidence from Nepal","SE3","Winnie Mughogho",1002,"SE3-1002","Eva Vivalt","PI7124"
"16","Behavioral change promotion, cash transfers and early childhood development: Experimental evidence from a government program in a low-income setting","SE4","Johanna Reyes",1015,"SE4-1015","Edward Miguel","PI7697"
"17","Effect of a home-visiting parenting program to promote early childhood development and prevent violence: a cluster-randomized trial in Rwanda","SE5","Monica Shandal",1006,"SE5-1006","Eva Vivalt","PI7124"
"18","Preschool and Parental Response in a Second Best World. Evidence from a School Construction Experiment","SE6","Ahwaz Akhtar",1001,"SE6-1001","Eva Vivalt","PI7124"
"19","Experimental Impacts of the �Quality Preschool for Ghana� Interventions on Teacher Professional Well-being, Classroom Quality, and Children�s School Readiness","SE7","Hamisi Fakhi",1022,"SE7-1022","Axel Schneider","PI8697"
"20","Longitudinal causal impacts of preschool teacher training on Ghanaian children�s school readiness: Evidence for persistence and fade-out","SE8","Ahwaz Akhtar",1001,"SE8-1001","Axel Schneider","PI8697"
"21","Year 3 Follow-Up of the �Quality Preschool for Ghana� Interventions on Child Development","SE9","Colley Buwana",1004,"SE9-1004","Fei Yuan","PI2598"
"22","Medium-term protective effects of quality early childhood education during the COVID-19 pandemic in Ghana","SE10","Alyssa Heinze",1016,"SE10-1016","Eva Vivalt","PI7124"
"23","Enhancing young children�s language acquisition through parent�child book-sharing: A randomized trial in rural Kenya","SE11","Colley Buwana",1004,"SE11-1004","Fei Yuan","PI2598"
"24","Combining pre-school teacher training with parenting education: A cluster-randomized controlled trial","SE12","Alyssa Heinze",1016,"SE12-1016","Edward Miguel","PI7697"
"25","Cash Transfers, Behavioral Changes, and Cognitive Development in Early Childhood: Evidence from a Randomized Experiment","SE13","Dina O'Brien",1019,"SE13-1019","Edward Miguel","PI7697"
